Week Number,Team,Started: Qtr,Started: Spot,Started: Time,Started: How,Ended: Spot,Ended: Time,Ended: How,Plays - Yds.,TOP
8,MER,4th,MER25,15:00,KO,MER20,14:34,PUNT,3-(-5),00:26
8,DUQ,4th,DUQ28,14:34,PUNT,MER41,10:28,PUNT,6-31,04:06
8,MER,4th,MER20,10:28,PUNT,DUQ46,06:50,DOWNS,8-34,03:38
8,DUQ,4th,DUQ46,06:50,DOWNS,MER0,04:00,TD,5-54,02:50
8,MER,4th,MER37,03:52,KO,MER38,02:58,PUNT,3-1,00:54
8,DUQ,4th,DUQ20,02:58,PUNT,DUQ29,00:00,HALF,6-9,02:58
9,STO,1st,STO34,14:53,KO,MER0,11:14,TD,7-66,03:39
9,MER,1st,MER22,11:06,KO,MER13,09:39,PUNT,3-(-9),01:27
9,STO,1st,MER39,09:39,PUNT,MER35,08:32,PUNT,3-4,01:07
9,MER,1st,MER16,08:32,PUNT,MER29,05:06,PUNT,6-13,03:26
9,STO,1st,STO36,05:06,PUNT,MER0,03:30,TD,4-64,01:36
9,MER,1st,MER45,03:21,KO,MER39,01:35,PUNT,3-(-6),01:46
9,STO,1st,STO50,01:35,PUNT,MER2,10:11,FG,11-48,06:24
9,MER,2nd,MER27,10:03,KO,STO0,06:47,TD,6-73,03:16
9,STO,2nd,STO30,06:39,KO,STO35,04:57,PUNT,3-5,01:42
9,MER,2nd,MER23,04:57,PUNT,STO36,00:39,DOWNS,9-41,04:18
9,STO,2nd,STO36,00:39,DOWNS,MER26,00:11,FG,4-38,00:28
9,MER,2nd,MER26,00:11,KO,MER26,00:00,HALF,1-0,00:11
9,MER,3rd,MER28,14:54,KO,STO44,12:43,DOWNS,5-28,02:11
9,STO,3rd,STO44,12:43,DOWNS,MER11,07:53,INT,8-45,04:50
9,MER,3rd,MER3,07:53,INT,STO43,05:06,INT,7-54,02:47
9,STO,3rd,MER47,05:06,INT,STO43,02:47,PUNT,3-(-10),02:19
9,MER,3rd,MER9,02:47,PUNT,STO9,11:59,DOWNS,12-82,05:48
9,STO,4th,STO9,11:59,DOWNS,MER10,02:52,FG,14-81,09:07
9,MER,4th,MER37,02:51,KO,STO0,00:51,TD,10-63,02:00
9,STO,4th,MER47,00:50,KO,MER48,00:00,HALF,2-(-1),00:50
10,MER,1st,MER1,14:51,KO,MER25,14:07,FUMB,2-24,00:44
10,SFU,1st,MER25,14:07,FUMB,MER8,10:51,FG,5-17,03:16
10,MER,1st,MER35,10:51,KO,MER46,08:08,PUNT,5-21,02:43
